termo,df_estimado,idf
absurdities,26,8.523961418205957
absurdity,119,7.03230654142824
absurdly,47,7.948597273302394
abu,18,8.875359305043844
abundance,80,7.425349129537847
abundant,40,8.106226217505977
abuse,317,6.057746901430109
abused,144,6.843064541789712
abuses,22,8.684304068281136
abusing,35,8.236279345754177
abusive,146,6.82936569743155
abusive father,18,8.875359305043844
abusive husband,20,8.775275846486863
abysmal,186,6.588689667355699
abysmally,25,8.561701746188803
abyss,48,7.927977986099659
ac,13,9.180740954595027
academic,62,7.676663557818753
academy,497,5.609198207185633
academy award,235,6.3559664791846755
academy awards,77,7.463089457520694
accent,821,5.1080578891541055
accented,28,8.452502454223811
accents,346,5.970473504263427
accentuate,20,8.775275846486863
accentuated,20,8.775275846486863
accentuates,15,9.047209561970504
accept,551,5.50625023793319
accept fact,15,9.047209561970504
acceptable,258,6.262970222510748
acceptance,129,6.952263833754704
accepted,290,6.146475017038793
accepting,109,7.119317918417869
accepts,115,7.0662080931039215
access,151,6.7959177633640095
accessible,105,7.156359190098219
accident,567,5.477676865489134
accidental,81,7.413079036946033
accidental death,18,8.875359305043844
accidentally,375,5.890209140820391
accidentally kills,38,8.156236638080639
accidents,42,8.058598168516724
acclaim,66,7.615105664819319
acclaimed,138,6.885324351079594
accolades,38,8.156236638080639
accommodate,20,8.775275846486863
accompanied,201,6.511530586809081
accompanies,52,7.849506370658164
accompaniment,35,8.236279345754177
accompany,73,7.515733191006116
accompanying,85,7.365450987956778
accomplice,41,8.082128665926916
accomplices,18,8.875359305043844
accomplish,131,6.9369963616239145
accomplished,231,6.373060912543976
accomplishes,33,8.293437759594124
accomplishment,64,7.645411014314648
accomplishments,21,8.72875583085197
accordance,16,8.98658494015407
according,529,5.546921277664119
according dvd,30,8.38581107972514
according film,14,9.111748083108075
according imdb,28,8.452502454223811
according movie,23,8.64174445386234
accordingly,49,7.90777527878214
account,335,6.002687124247082
accountant,34,8.264450222720871
accounted,22,8.684304068281136
accounting,24,8.600922459342085
accounts,118,7.040674791098756
accumulated,15,9.047209561970504
accuracy,148,6.815851978264827
accurate,541,5.52453228277064
accurate depiction,20,8.775275846486863
accurate portrayal,36,8.20888037156606
accurately,145,6.83619166250195
accusation,17,8.92942652631412
accusations,44,8.013135794439966
accuse,41,8.082128665926916
accused,227,6.390452655255845
accused murder,25,8.561701746188803
accuses,30,8.38581107972514
accusing,16,8.98658494015407
accustomed,57,7.759355273663867
ace,94,7.265921392609745
ace ventura,12,9.25484892674875
acerbic,18,8.875359305043844
ache,18,8.875359305043844
achieve,314,6.067225645384653
achieved,268,6.225086904608447
achievement,222,6.412626512750167
achievements,79,7.437771649536404
achieves,98,7.224678434075696
achieving,65,7.63014354218386
achilles,21,8.72875583085197
aching,23,8.64174445386234
achingly,31,8.354062381410559
acid,126,6.975611197751695
acid trip,24,8.600922459342085
ackland,25,8.561701746188803
acknowledge,98,7.224678434075696
acknowledged,59,7.725453721988185
acknowledges,19,8.824066010656296
ackroyd,17,8.92942652631412
acoustic,17,8.92942652631412
acquaintance,43,8.035608650292025
acquaintances,40,8.106226217505977
acquainted,45,7.991156887721191
acquire,49,7.90777527878214
acquired,95,7.25545009274245
acquired taste,24,8.600922459342085
acquiring,20,8.775275846486863
acquit,22,8.684304068281136
acquits,18,8.875359305043844
acquitted,18,8.875359305043844
acre,6,9.873888135154973
acres,27,8.487593774035082
acrobatic,23,8.64174445386234
acrobatics,27,8.487593774035082
act,2116,4.1620430130754205
act better,14,9.111748083108075
act dont,15,9.047209561970504
act film,27,8.487593774035082
act ii,12,9.25484892674875
act just,27,8.487593774035082
act like,235,6.3559664791846755
act movie,34,8.264450222720871
act really,15,9.047209561970504
act save,19,8.824066010656296
act way,49,7.90777527878214
acted,1138,4.781892320763104
acted badly,19,8.824066010656296
acted directed,47,7.948597273302394
acted film,29,8.41860090254813
acted like,52,7.849506370658164
acted movie,26,8.523961418205957
acted poorly,17,8.92942652631412
acted really,15,9.047209561970504
acted written,14,9.111748083108075
acting,10521,2.5585747019195333
acting abilities,56,7.776747016375736
acting ability,121,7.015777239477029
acting absolutely,32,8.323290722743806
acting abysmal,18,8.875359305043844
acting acting,31,8.354062381410559
acting actors,47,7.948597273302394
acting actually,38,8.156236638080639
acting alright,18,8.875359305043844
acting amateurish,23,8.64174445386234
acting amazing,29,8.41860090254813
acting atrocious,53,7.8308142376460115
acting average,43,8.035608650292025
acting awful,107,7.137667057086066
acting bad,382,5.8717632950296395
acting believable,16,8.98658494015407
acting best,33,8.293437759594124
acting better,65,7.63014354218386
acting bit,39,8.130918830096348
acting brilliant,21,8.72875583085197
acting came,16,8.98658494015407
acting camera,18,8.875359305043844
acting career,55,7.794446593475136
acting cast,52,7.849506370658164
acting character,29,8.41860090254813
acting characters,36,8.20888037156606
acting cheesy,25,8.561701746188803
acting chops,25,8.561701746188803
acting cinematography,31,8.354062381410559
acting class,24,8.600922459342085
acting convincing,17,8.92942652631412
acting decent,45,7.991156887721191
acting dialog,21,8.72875583085197
acting dialogue,35,8.236279345754177
acting didnt,15,9.047209561970504
acting directing,83,7.388981485366972
acting direction,69,7.571303042160927
acting does,29,8.41860090254813
acting doesnt,22,8.684304068281136
acting dont,34,8.264450222720871
acting effects,14,9.111748083108075
acting entire,16,8.98658494015407
acting especially,69,7.571303042160927
acting excellent,70,7.5571184071689705
acting experience,15,9.047209561970504
acting extremely,15,9.047209561970504
acting fairly,17,8.92942652631412
acting fantastic,20,8.775275846486863
acting far,19,8.824066010656296
acting film,136,6.899817358382161
acting fine,45,7.991156887721191
acting flat,17,8.92942652631412
acting generally,34,8.264450222720871
acting goes,18,8.875359305043844
acting good,311,6.0767950964008035
acting great,188,6.578051269150643
acting horrendous,17,8.92942652631412
acting horrible,136,6.899817358382161
acting im,21,8.72875583085197
acting involved,15,9.047209561970504
acting isnt,123,6.999516718605249
acting ive,33,8.293437759594124
acting job,52,7.849506370658164
acting jobs,20,8.775275846486863
acting just,140,6.871038393832118
acting lack,15,9.047209561970504
acting lame,30,8.38581107972514
acting laughable,25,8.561701746188803
acting leads,23,8.64174445386234
acting lessons,27,8.487593774035082
acting level,14,9.111748083108075
acting like,140,6.871038393832118
acting little,32,8.323290722743806
acting lot,14,9.111748083108075
acting main,24,8.600922459342085
acting make,33,8.293437759594124
acting makes,32,8.323290722743806
acting mediocre,45,7.991156887721191
acting movie,148,6.815851978264827
acting movies,14,9.111748083108075
acting music,22,8.684304068281136
acting nice,15,9.047209561970504
acting notch,28,8.452502454223811
acting oh,15,9.047209561970504
acting ok,52,7.849506370658164
acting okay,31,8.354062381410559
acting outstanding,15,9.047209561970504
acting overall,32,8.323290722743806
acting par,16,8.98658494015407
acting particularly,25,8.561701746188803
acting passable,16,8.98658494015407
acting pathetic,16,8.98658494015407
acting people,18,8.875359305043844
acting performance,43,8.035608650292025
acting performances,81,7.413079036946033
acting plot,65,7.63014354218386
acting poor,147,6.82258601044617
acting pretty,133,6.921958484259375
acting production,19,8.824066010656296
acting quite,55,7.794446593475136
acting range,18,8.875359305043844
acting ranges,15,9.047209561970504
acting rate,14,9.111748083108075
acting real,20,8.775275846486863
acting really,109,7.119317918417869
acting role,20,8.775275846486863
acting roles,25,8.561701746188803
acting say,17,8.92942652631412
acting scenes,16,8.98658494015407
acting school,15,9.047209561970504
acting script,66,7.615105664819319
acting seen,33,8.293437759594124
acting simply,23,8.64174445386234
acting skill,18,8.875359305043844
acting skills,104,7.165837934052762
acting solid,21,8.72875583085197
acting special,37,8.1822121244839
acting stiff,15,9.047209561970504
acting stilted,18,8.875359305043844
acting story,73,7.515733191006116
acting stupid,21,8.72875583085197
acting style,45,7.991156887721191
acting subpar,23,8.64174445386234
acting sucks,28,8.452502454223811
acting superb,124,6.9914845469079845
acting surprisingly,15,9.047209561970504
acting talent,119,7.03230654142824
acting talents,32,8.323290722743806
acting terrible,179,6.626841433320076
acting terrific,17,8.92942652631412
acting thats,15,9.047209561970504
acting thing,17,8.92942652631412
acting think,17,8.92942652631412
acting thought,15,9.047209561970504
acting time,15,9.047209561970504
acting times,17,8.92942652631412
acting totally,17,8.92942652631412
acting truly,20,8.775275846486863
acting uniformly,27,8.487593774035082
acting wasnt,70,7.5571184071689705
acting way,26,8.523961418205957
acting weak,28,8.452502454223811
acting wonderful,31,8.354062381410559
acting wooden,81,7.413079036946033
acting worse,49,7.90777527878214
acting worst,45,7.991156887721191
acting writing,64,7.645411014314648
actingand,14,9.111748083108075
action,4230,3.4696046334902184
action action,21,8.72875583085197
action adventure,59,7.725453721988185
action characters,17,8.92942652631412
action comedy,45,7.991156887721191
action dont,17,8.92942652631412
action drama,31,8.354062381410559
action end,16,8.98658494015407
action fans,23,8.64174445386234
action figures,21,8.72875583085197
action film,217,6.435303221421197
action films,106,7.146969449748379
action flick,111,7.101299412915191
action flicks,36,8.20888037156606
action genre,18,8.875359305043844
action going,14,9.111748083108075
action good,36,8.20888037156606
action great,26,8.523961418205957
action happens,14,9.111748083108075
action hero,57,7.759355273663867
action horror,23,8.64174445386234
action humor,14,9.111748083108075
action just,31,8.354062381410559
action little,14,9.111748083108075
action make,15,9.047209561970504
action movie,346,5.970473504263427
action movies,153,6.7828456817966565
action packed,69,7.571303042160927
action plot,20,8.775275846486863
action really,17,8.92942652631412
action romance,22,8.684304068281136
action scene,50,7.88797265148596
action scenes,389,5.853651545086594
action screen,18,8.875359305043844
action sequence,42,8.058598168516724
action sequences,276,6.1957807780229475
action set,15,9.047209561970504
action star,34,8.264450222720871
action story,17,8.92942652631412
action suspense,56,7.776747016375736
action takes,53,7.8308142376460115
action thriller,46,7.969650682500228
actionadventure,39,8.130918830096348
actioncomedy,17,8.92942652631412
actioner,39,8.130918830096348
actionpacked,61,7.692663899165194
actions,571,5.470659292830488
actions characters,16,8.98658494015407
actionthriller,13,9.180740954595027
active,138,6.885324351079594
actively,52,7.849506370658164
activist,43,8.035608650292025
activists,22,8.684304068281136
activities,151,6.7959177633640095
activity,117,7.049113659744621
actor,3637,3.620608925132218
actor actress,29,8.41860090254813
actor best,20,8.775275846486863
actor cast,18,8.875359305043844
actor character,15,9.047209561970504
actor did,28,8.452502454223811
actor director,30,8.38581107972514
actor does,28,8.452502454223811
actor film,64,7.645411014314648
actor good,33,8.293437759594124
actor great,21,8.72875583085197
actor hes,34,8.264450222720871
actor ive,21,8.72875583085197
actor james,14,9.111748083108075
actor john,22,8.684304068281136
actor just,33,8.293437759594124
actor like,52,7.849506370658164
actor makes,16,8.98658494015407
actor movie,74,7.502310170673975
actor oscar,25,8.561701746188803
actor play,32,8.323290722743806
actor played,70,7.5571184071689705
actor playing,75,7.489064943923955
actor plays,72,7.529338843061895
actor really,40,8.106226217505977
actor robert,16,8.98658494015407
actor role,28,8.452502454223811
actor seen,15,9.047209561970504
actor think,19,8.824066010656296
actor time,16,8.98658494015407
actoractress,29,8.41860090254813
actors,7208,2.9367127598057072
actors act,40,8.106226217505977
actors acting,28,8.452502454223811
actors actors,17,8.92942652631412
actors actresses,182,6.610312131368865
actors actually,41,8.082128665926916
actors appear,28,8.452502454223811
actors appeared,14,9.111748083108075
actors arent,35,8.236279345754177
actors bad,58,7.742260840304566
actors best,41,8.082128665926916
actors better,27,8.487593774035082
actors brilliant,17,8.92942652631412
actors bring,19,8.824066010656296
actors cast,45,7.991156887721191
actors certainly,15,9.047209561970504
actors characters,21,8.72875583085197
actors chosen,15,9.047209561970504
actors come,16,8.98658494015407
actors completely,15,9.047209561970504
actors crew,18,8.875359305043844
actors deliver,31,8.354062381410559
actors did,125,6.983516377258808
actors didnt,38,8.156236638080639
actors director,46,7.969650682500228
actors directors,23,8.64174445386234
actors doing,30,8.38581107972514
actors dont,54,7.812465098977815
actors especially,34,8.264450222720871
actors excellent,30,8.38581107972514
actors faces,14,9.111748083108075
actors film,156,6.763552478861977
actors fine,26,8.523961418205957
actors funny,14,9.111748083108075
actors gave,18,8.875359305043844
actors generation,15,9.047209561970504
actors given,26,8.523961418205957
actors good,129,6.952263833754704
actors great,118,7.040674791098756
actors horrible,14,9.111748083108075
actors im,15,9.047209561970504
actors including,36,8.20888037156606
actors involved,53,7.8308142376460115
actors ive,19,8.824066010656296
actors just,94,7.265921392609745
actors know,23,8.64174445386234
actors known,16,8.98658494015407
actors like,162,6.726048083403524
actors little,19,8.824066010656296
actors look,66,7.615105664819319
actors looked,14,9.111748083108075
actors make,60,7.708924420036975
actors movie,131,6.9369963616239145
actors obviously,16,8.98658494015407
actors performance,18,8.875359305043844
actors performances,33,8.293437759594124
actors play,87,7.342461469732079
actors played,57,7.759355273663867
actors playing,77,7.463089457520694
actors plot,16,8.98658494015407
actors portray,20,8.775275846486863
actors portrayed,14,9.111748083108075
actors portraying,18,8.875359305043844
actors pretty,28,8.452502454223811
actors probably,26,8.523961418205957
actors production,15,9.047209561970504
actors quite,17,8.92942652631412
actors real,24,8.600922459342085
actors really,91,7.2980097071612455
actors roles,14,9.111748083108075
actors say,27,8.487593774035082
actors script,20,8.775275846486863
actors seen,23,8.64174445386234
actors simply,18,8.875359305043844
actors story,25,8.561701746188803
actors superb,18,8.875359305043844
actors talent,15,9.047209561970504
actors terrible,15,9.047209561970504
actors think,28,8.452502454223811
actors time,51,7.868554565628858
actors try,24,8.600922459342085
actors trying,27,8.487593774035082
actors turn,14,9.111748083108075
actors wasted,22,8.684304068281136
actors way,22,8.684304068281136
actors werent,19,8.824066010656296
actors wonderful,15,9.047209561970504
actors work,38,8.156236638080639
actors working,16,8.98658494015407
actorsactresses,59,7.725453721988185
actress,1946,4.245753278838086
actress did,14,9.111748083108075
actress does,19,8.824066010656296
actress film,26,8.523961418205957
actress good,15,9.047209561970504
actress just,19,8.824066010656296
actress like,28,8.452502454223811
actress movie,29,8.41860090254813
actress oscar,18,8.875359305043844
actress played,56,7.776747016375736
actress playing,52,7.849506370658164
actress plays,52,7.849506370658164
actress role,19,8.824066010656296
actress shes,19,8.824066010656296
actresses,586,5.444773464382189
actresses film,20,8.775275846486863
acts,729,5.226753750067849
acts like,125,6.983516377258808
acts violence,20,8.775275846486863
actual,1340,4.618627400928608
actual event,14,9.111748083108075
actual events,50,7.88797265148596
actual fact,20,8.775275846486863
actual film,38,8.156236638080639
actual footage,18,8.875359305043844
actual human,17,8.92942652631412
actual movie,64,7.645411014314648
actual people,20,8.775275846486863
actual plot,30,8.38581107972514
actual story,48,7.927977986099659
actuality,45,7.991156887721191
actually,6838,2.98940148311219
actually able,22,8.684304068281136
actually act,46,7.969650682500228
actually bad,57,7.759355273663867
actually based,23,8.64174445386234
actually believe,34,8.264450222720871
actually best,27,8.487593774035082
actually better,59,7.725453721988185
actually bought,16,8.98658494015407
actually came,16,8.98658494015407
actually care,25,8.561701746188803
actually come,20,8.775275846486863
actually decent,29,8.41860090254813
actually did,74,7.502310170673975
actually didnt,23,8.64174445386234
actually does,47,7.948597273302394
actually doing,17,8.92942652631412
actually dont,30,8.38581107972514
actually enjoy,33,8.293437759594124
actually enjoyed,38,8.156236638080639
actually entertaining,18,8.875359305043844
actually fairly,19,8.824066010656296
actually feel,31,8.354062381410559
actually felt,34,8.264450222720871
actually film,44,8.013135794439966
actually filmed,24,8.600922459342085
actually fun,16,8.98658494015407
actually funny,85,7.365450987956778
actually gave,23,8.64174445386234
actually gets,22,8.684304068281136
actually getting,24,8.600922459342085
actually goes,16,8.98658494015407
actually going,30,8.38581107972514
actually good,133,6.921958484259375
actually got,56,7.776747016375736
actually great,27,8.487593774035082
actually happen,23,8.64174445386234
actually happened,54,7.812465098977815
actually happening,22,8.684304068281136
actually happens,35,8.236279345754177
actually having,17,8.92942652631412
actually interesting,30,8.38581107972514
actually isnt,21,8.72875583085197
actually just,43,8.035608650292025
actually kind,32,8.323290722743806
actually know,23,8.64174445386234
actually like,84,7.377147027719969
actually liked,54,7.812465098977815
actually little,23,8.64174445386234
actually look,27,8.487593774035082
actually looked,23,8.64174445386234
actually looks,39,8.130918830096348
actually lot,26,8.523961418205957
actually love,19,8.824066010656296
actually make,57,7.759355273663867
actually makes,57,7.759355273663867
actually making,19,8.824066010656296
actually managed,17,8.92942652631412
actually movie,73,7.515733191006116
actually paid,31,8.354062381410559
actually pay,18,8.875359305043844
actually plot,19,8.824066010656296
actually pretty,137,6.892544599053081
actually quite,157,6.757203251183319
actually read,38,8.156236638080639
actually real,21,8.72875583085197
actually really,64,7.645411014314648
actually sat,23,8.64174445386234
actually saw,31,8.354062381410559
actually say,28,8.452502454223811
actually scary,21,8.72875583085197
actually scene,16,8.98658494015407
actually seeing,19,8.824066010656296
actually seen,51,7.868554565628858
actually shot,28,8.452502454223811
actually showing,15,9.047209561970504
actually shown,16,8.98658494015407
actually shows,16,8.98658494015407
actually sort,17,8.92942652631412
actually started,17,8.92942652631412
actually story,25,8.561701746188803
actually surprised,15,9.047209561970504
actually takes,21,8.72875583085197
actually think,91,7.2980097071612455
actually thought,72,7.529338843061895
actually time,22,8.684304068281136
actually took,27,8.487593774035082
actually trying,20,8.775275846486863
actually turned,22,8.684304068281136
actually used,16,8.98658494015407
actually want,22,8.684304068281136
actually wasnt,17,8.92942652631412
actually watch,37,8.1822121244839
actually watched,44,8.013135794439966
actually watching,34,8.264450222720871
actually went,37,8.1822121244839
actually work,18,8.875359305043844
actually works,37,8.1822121244839
actually worse,24,8.600922459342085
actually worth,23,8.64174445386234
acutely,17,8.92942652631412
ad,231,6.373060912543976
ad nauseum,17,8.92942652631412
ada,25,8.561701746188803
adage,16,8.98658494015407
adam,323,6.039054768417956
adam burt,8,9.622573706874066
adam sandler,82,7.400957676413688
adam west,27,8.487593774035082
adama,15,9.047209561970504
adamant,15,9.047209561970504
adams,176,6.643648551636456
adamson,25,8.561701746188803
adapt,88,7.3311619144781455
adaptation,692,5.278768285020383
adaptation book,23,8.64174445386234
adaptation classic,18,8.875359305043844
adaptation novel,23,8.64174445386234
adaptations,156,6.763552478861977
adapted,266,6.232549625810036
adapted novel,17,8.92942652631412
adapted screen,21,8.72875583085197
adapting,55,7.794446593475136
adaption,84,7.377147027719969
adapts,15,9.047209561970504
add,1570,4.460330645954665
add bit,15,9.047209561970504
add collection,27,8.487593774035082
add depth,14,9.111748083108075
add extra,16,8.98658494015407
add film,28,8.452502454223811
add insult,29,8.41860090254813
add little,25,8.561701746188803
add lot,18,8.875359305043844
add movie,30,8.38581107972514
add new,19,8.824066010656296
add plot,14,9.111748083108075
add story,26,8.523961418205957
addams,15,9.047209561970504
added,860,5.061703779782555
added bonus,28,8.452502454223811
added film,16,8.98658494015407
added little,16,8.98658494015407
added lot,14,9.111748083108075
addict,111,7.101299412915191
addicted,113,7.08359983581579
addiction,121,7.015777239477029
addictions,15,9.047209561970504
addictive,39,8.130918830096348
addicts,42,8.058598168516724
adding,332,6.011655794229842
addison,13,9.180740954595027
addition,619,5.390078806171148
additional,140,6.871038393832118
additionally,104,7.165837934052762
additions,35,8.236279345754177
address,139,6.878155861600981
addressed,93,7.276503501940282
addresses,60,7.708924420036975
addressing,49,7.90777527878214
adds,674,5.305085593337756
adelaide,22,8.684304068281136
adele,28,8.452502454223811
adentro,7,9.74035674253045
adept,47,7.948597273302394
adeptly,14,9.111748083108075
adequate,193,6.551940125146958
adequately,72,7.529338843061895
adhere,17,8.92942652631412
adherence,15,9.047209561970504
aditya,11,9.334891634422286
adjacent,19,8.824066010656296
adjani,20,8.775275846486863
adjective,24,8.600922459342085
adjectives,26,8.523961418205957
adjust,44,8.013135794439966
adjusted,19,8.824066010656296
adjusting,22,8.684304068281136
adjustment,16,8.98658494015407
adkins,10,9.421903011411915
adlibbed,15,9.047209561970504
administration,57,7.759355273663867
administrator,16,8.98658494015407
admirable,124,6.9914845469079845
admirable job,16,8.98658494015407
admirably,76,7.475992862356602
admiral,31,8.354062381410559
admiration,94,7.265921392609745
admire,243,6.322630058917084
admired,97,7.234830805539714
admirer,68,7.585691779613026
admirers,43,8.035608650292025
admires,28,8.452502454223811
admiring,33,8.293437759594124
admission,96,7.245087305706903
admit,1135,4.784529684929189
admit did,26,8.523961418205957
admit didnt,15,9.047209561970504
admit im,27,8.487593774035082
admit movie,20,8.775275846486863
admit really,17,8.92942652631412
admits,84,7.377147027719969
admitted,85,7.365450987956778
admittedly,244,6.318540073665559
admitting,30,8.38581107972514
ado,20,8.775275846486863
adolescence,30,8.38581107972514
adolescent,123,6.999516718605249
adolescents,32,8.323290722743806
adolf,37,8.1822121244839
adolf hitler,27,8.487593774035082
adolph,14,9.111748083108075
adopt,55,7.794446593475136
adopted,128,6.959985879848613
adopting,21,8.72875583085197
adoption,26,8.523961418205957
adoptive,22,8.684304068281136
adopts,38,8.156236638080639
adorable,183,6.6048625266013
adoration,24,8.600922459342085
adore,113,7.08359983581579
adored,65,7.63014354218386
adores,25,8.561701746188803
adoring,22,8.684304068281136
adrenalin,14,9.111748083108075
adrenaline,37,8.1822121244839
adrian,81,7.413079036946033
adrien,14,9.111748083108075
adrienne,28,8.452502454223811
adrienne barbeau,11,9.334891634422286
adrift,20,8.775275846486863
ads,91,7.2980097071612455
adult,797,5.137689686760477
adult audience,15,9.047209561970504
adult film,25,8.561701746188803
adult films,15,9.047209561970504
adult humor,11,9.334891634422286
adult life,19,8.824066010656296
adult movie,14,9.111748083108075
adult swim,18,8.875359305043844
adult world,15,9.047209561970504
adulterous,36,8.20888037156606
adultery,58,7.742260840304566
adulthood,49,7.90777527878214
adults,603,5.416224086275471
adults alike,17,8.92942652631412
adults children,25,8.561701746188803
adults enjoy,16,8.98658494015407
adults kids,19,8.824066010656296
adults like,19,8.824066010656296
adv,5,10.028038814982231
advance,192,6.5571080953054
advance screening,15,9.047209561970504
advanced,152,6.789360362817851
advancement,31,8.354062381410559
advances,81,7.413079036946033
advancing,30,8.38581107972514
advani,9,9.517213191216241
advantage,289,6.149917361229766
advantages,23,8.64174445386234
advent,39,8.130918830096348
advent children,12,9.25484892674875
adventure,753,5.19440591620233
adventure film,30,8.38581107972514
adventure movie,34,8.264450222720871
adventure movies,15,9.047209561970504
adventure story,20,8.775275846486863
adventurer,22,8.684304068281136
adventurers,18,8.875359305043844
adventures,351,5.956167108612188
adventurous,67,7.600290579034179
adversaries,29,8.41860090254813
adversary,32,8.323290722743806
adverse,18,8.875359305043844
adversity,58,7.742260840304566
advert,22,8.684304068281136
advertise,24,8.600922459342085
advertised,106,7.146969449748379
advertisement,55,7.794446593475136
advertisements,31,8.354062381410559
advertises,13,9.180740954595027
advertising,169,6.683999847160024
adverts,15,9.047209561970504
advice,495,5.613222357485358
advice dont,28,8.452502454223811
advice skip,15,9.047209561970504
advice stay,14,9.111748083108075
advice watch,25,8.561701746188803
advise,190,6.567524856163656
advise watch,16,8.98658494015407
advised,73,7.515733191006116
adviser,43,8.035608650292025
advises,25,8.561701746188803
advocate,33,8.293437759594124
ae,30,8.38581107972514
aeon,10,9.421903011411915
aeon flux,10,9.421903011411915
aerial,67,7.600290579034179
aesthetic,95,7.25545009274245
aesthetically,35,8.236279345754177
aesthetics,28,8.452502454223811
afar,30,8.38581107972514
affable,33,8.293437759594124
affair,633,5.367749329773059
affairs,154,6.776373167291039
affect,162,6.726048083403524
affected,209,6.472690753492817
affecting,96,7.245087305706903
affection,171,6.672303807396832
affectionate,38,8.156236638080639
affectionately,18,8.875359305043844
affections,55,7.794446593475136
affects,109,7.119317918417869
affinity,28,8.452502454223811
affleck,69,7.571303042160927
afflicted,26,8.523961418205957
affliction,25,8.561701746188803
affluent,28,8.452502454223811
afford,199,6.521480917662249
